Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-25760,Provision external storage for graphics design project.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,High,Medium,2025-10-02T07:23:13.000000,2025-10-02T13:23:13.000000,2025-10-02T22:23:13.000000,0,2,Thursday,1,6.0,9.0,15.0,0
CR-25761,Request to adjust permissions on shared inbox handling invoices.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-10-02T14:27:51.000000,2025-10-02T16:27:51.000000,2025-10-04T02:27:51.000000,1,1,Thursday,0,2.0,34.0,36.0,1
CR-25762,Activate mobile application access for workflow approvals.,Software,Thor,Thor,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-10-02T07:44:42.000000,2025-10-02T12:44:42.000000,2025-10-03T14:44:42.000000,0,1,Thursday,1,5.0,26.0,31.0,1
CR-25763,Enable high-availability configuration on two production servers.,Data,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-10-02T22:06:00.000000,2025-10-03T02:06:00.000000,2025-10-03T09:06:00.000000,0,3,Thursday,1,4.0,7.0,11.0,1
CR-25764,Troubleshoot application access issues related to role change.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service A,On Hold,Low,Medium,Low,Medium,2025-10-02T02:13:21.000000,,,0,2,Thursday,1,0.0,0.0,0.0,0
CR-25765,Upgrade workstation RAM for improved video editing performance.,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,2025-10-02T14:14:05.000000,2025-10-02T17:14:05.000000,2025-10-03T16:14:05.000000,0,1,Thursday,1,3.0,23.0,26.0,0
CR-25766,Request to create test environment for application testing.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,Medium,High,2025-10-02T03:12:58.000000,2025-10-02T10:12:58.000000,2025-10-02T17:12:58.000000,0,3,Thursday,1,7.0,7.0,14.0,0
CR-25767,Re-enable accounts for recent employee returning after leave.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-10-03T04:47:19.000000,2025-10-03T06:47:19.000000,2025-10-04T15:47:19.000000,0,1,Friday,1,2.0,33.0,35.0,1
CR-25768,Request to delete unused virtual machines in non-production environment.,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-10-03T07:31:37.000000,2025-10-03T12:31:37.000000,2025-10-04T20:31:37.000000,0,1,Friday,1,5.0,32.0,37.0,0
CR-25769,Relocation of desktop workstation within the office premises.,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,In Progress,Medium,High,High,High,2025-10-03T06:48:48.000000,2025-10-03T09:48:48.000000,,0,2,Friday,1,3.0,0.0,0.0,0
CR-25770,Troubleshoot application access issues related to role change.,Access,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-10-03T14:47:26.000000,2025-10-03T17:47:26.000000,2025-10-03T22:47:26.000000,1,5,Friday,0,3.0,5.0,8.0,1
CR-25771,Request to access internal SharePoint site for the Finance department.,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-10-03T19:11:40.000000,2025-10-03T22:11:40.000000,2025-10-05T02:11:40.000000,0,2,Friday,1,3.0,28.0,31.0,1
CR-25772,Document retention policy modification for compliance purposes.,Hardware,Loki,Loki,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-10-03T09:04:44.000000,2025-10-03T16:04:44.000000,2025-10-06T14:04:44.000000,0,0,Friday,1,7.0,70.0,77.0,1
CR-25773,Setup repository access for junior developers.,Facilities,Thor,Thor,Avengers,Service A,Closed,High,High,High,Low,2025-10-03T08:00:21.000000,2025-10-03T15:00:21.000000,2025-10-04T15:00:21.000000,0,2,Friday,1,7.0,24.0,31.0,1
CR-25774,Re-enable accounts for recent employee returning after leave.,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-10-03T13:52:42.000000,2025-10-03T17:52:42.000000,2025-10-04T05:52:42.000000,0,1,Friday,1,4.0,12.0,16.0,0
CR-25775,Provision special access profiles for GDPR compliance audits.,Failure,John Wick,John Wick,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-10-03T05:28:24.000000,2025-10-03T07:28:24.000000,2025-10-03T20:28:24.000000,0,2,Friday,1,2.0,13.0,15.0,0
CR-25776,Update employee badge photo in internal directory.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-10-03T22:42:40.000000,2025-10-04T05:42:40.000000,2025-10-04T17:42:40.000000,0,1,Friday,1,7.0,12.0,19.0,0
CR-25777,Troubleshoot application access issues related to role change.,Network,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-10-03T16:39:26.000000,2025-10-03T22:39:26.000000,2025-10-04T02:39:26.000000,0,4,Friday,1,6.0,4.0,10.0,0
CR-25778,Request to install Python libraries on student laptops.,Access,Loki,Loki,Avengers,Service C,Closed,Low,Low,Low,Low,2025-10-03T18:22:24.000000,2025-10-03T21:22:24.000000,2025-10-06T14:22:24.000000,0,1,Friday,1,3.0,65.0,68.0,1
CR-25779,Change access rights on shared folder for team lead.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,Medium,Medium,2025-10-03T08:10:00.000000,2025-10-03T10:10:00.000000,2025-10-04T10:10:00.000000,0,3,Friday,1,2.0,24.0,26.0,1
CR-25780,Setup repository access for junior developers.,Facilities,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Low,Low,2025-10-03T09:56:30.000000,2025-10-03T11:56:30.000000,2025-10-04T21:56:30.000000,0,1,Friday,1,2.0,34.0,36.0,1
CR-25781,Setup repository access for junior developers.,Hardware,Thor,Thor,Avengers,Service A,New,Low,Critical,High,High,2025-10-03T07:55:54.000000,,,0,4,Friday,1,0.0,0.0,0.0,0
CR-25782,Install licensed Microsoft Visio on a department computer.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-10-03T06:52:28.000000,2025-10-03T08:52:28.000000,2025-10-04T02:52:28.000000,0,2,Friday,1,2.0,18.0,20.0,0
CR-25783,Request to create container image repository for DevOps team.,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,High,High,2025-10-03T03:41:53.000000,2025-10-03T11:41:53.000000,2025-10-03T17:41:53.000000,0,2,Friday,1,8.0,6.0,14.0,0
CR-25784,Provisioning of VPN access for third-party vendor consultants.,Failure,John Cena,John Cena,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-10-03T20:36:55.000000,2025-10-03T22:36:55.000000,2025-10-05T02:36:55.000000,0,1,Friday,1,2.0,28.0,30.0,1
CR-25785,Install Adobe Creative Suite on workstation for design team.,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Critical,Medium,High,2025-10-03T20:41:48.000000,2025-10-03T22:41:48.000000,2025-10-04T09:41:48.000000,0,4,Friday,1,2.0,11.0,13.0,1
CR-25786,Re-enable accounts for recent employee returning after leave.,Data,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,High,2025-10-03T21:14:53.000000,2025-10-04T04:14:53.000000,2025-10-04T08:14:53.000000,0,3,Friday,1,7.0,4.0,11.0,0
CR-25787,Reassign ownership of project management tools to new team lead.,Hardware,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-10-03T23:15:45.000000,2025-10-04T07:15:45.000000,2025-10-04T21:15:45.000000,1,1,Friday,0,8.0,14.0,22.0,0
CR-25788,Configure alerts for reporting dashboard thresholds.,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,New,Medium,High,High,High,2025-10-03T13:08:06.000000,,,0,3,Friday,1,0.0,0.0,0.0,0
CR-25789,Change access rights on shared folder for team lead.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-10-03T06:00:32.000000,2025-10-03T08:00:32.000000,2025-10-04T16:00:32.000000,0,2,Friday,1,2.0,32.0,34.0,1
CR-25790,Create subdomain for new departmental website launch.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,New,High,Critical,High,High,2025-10-03T00:53:03.000000,,,0,5,Friday,1,0.0,0.0,0.0,0
CR-25791,Enable port redirection for database replication tasks.,Network,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,High,2025-10-03T15:02:51.000000,2025-10-03T23:02:51.000000,2025-10-04T03:02:51.000000,0,5,Friday,1,8.0,4.0,12.0,0
CR-25792,Provision special access profiles for GDPR compliance audits.,Software,Loki,Loki,Avengers,Service A,Closed,High,High,Medium,High,2025-10-03T13:29:24.000000,2025-10-03T18:29:24.000000,2025-10-04T05:29:24.000000,0,2,Friday,1,5.0,11.0,16.0,0
CR-25793,Grant access to restricted database for data analytics intern.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,High,High,2025-10-03T23:15:52.000000,2025-10-04T03:15:52.000000,2025-10-04T21:15:52.000000,0,3,Friday,1,4.0,18.0,22.0,1
CR-25794,Request to install Python libraries on student laptops.,Failure,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-10-03T17:56:47.000000,2025-10-04T01:56:47.000000,2025-10-04T06:56:47.000000,0,5,Friday,1,8.0,5.0,13.0,1
CR-25795,Provision external storage for graphics design project.,Network,Hulk,Hulk,Avengers,Service C,Closed,High,High,High,High,2025-10-03T18:06:09.000000,2025-10-04T01:06:09.000000,2025-10-04T12:06:09.000000,0,3,Friday,1,7.0,11.0,18.0,0
CR-25796,Request to create test environment for application testing.,Data,John Cena,John Cena,Matrix,Service C,Closed,Medium,Medium,Low,Low,2025-10-03T00:15:47.000000,2025-10-03T03:15:47.000000,2025-10-03T21:15:47.000000,1,1,Friday,0,3.0,18.0,21.0,0
CR-25797,Configuration update needed for internal voice gateway routing.,Software,Spiderman,Spiderman,Avengers II,Service A,In Progress,Low,Medium,Low,Medium,2025-10-03T13:05:33.000000,2025-10-03T15:05:33.000000,,0,2,Friday,1,2.0,0.0,0.0,0
CR-25798,Setup repository access for junior developers.,Software,Iron Man,Iron Man,Avengers,Service B,On Hold,Medium,Critical,High,High,2025-10-03T15:15:53.000000,,,0,3,Friday,1,0.0,0.0,0.0,0
CR-25799,Replace hardware for malfunctioning conference room equipment.,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-10-03T17:34:59.000000,2025-10-03T21:34:59.000000,2025-10-04T21:34:59.000000,0,2,Friday,1,4.0,24.0,28.0,0
CR-25800,Request to delete unused virtual machines in non-production environment.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Low,High,High,High,2025-10-03T12:13:47.000000,2025-10-03T19:13:47.000000,2025-10-04T02:13:47.000000,0,2,Friday,1,7.0,7.0,14.0,0
CR-25801,Relocation of desktop workstation within the office premises.,Access,Batman,Batman,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-10-03T20:00:49.000000,2025-10-04T00:00:49.000000,2025-10-05T08:00:49.000000,0,2,Friday,1,4.0,32.0,36.0,1
CR-25802,Configuration update needed for internal voice gateway routing.,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-10-03T19:31:30.000000,2025-10-04T01:31:30.000000,2025-10-05T06:31:30.000000,1,2,Friday,0,6.0,29.0,35.0,1
CR-25803,Change access rights on shared folder for team lead.,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Critical,High,High,2025-10-03T10:36:24.000000,2025-10-03T15:36:24.000000,2025-10-04T03:36:24.000000,1,3,Friday,0,5.0,12.0,17.0,1
CR-25804,Enable port redirection for database replication tasks.,Failure,Thor,Thor,Avengers,Service C,On Hold,Medium,Medium,Low,Low,2025-10-03T00:06:48.000000,,,0,2,Friday,1,0.0,0.0,0.0,0
CR-25805,Request to move group mailbox ownership to new manager.,Failure,Thor,Thor,Avengers,Service A,Closed,Low,Critical,High,High,2025-10-03T18:35:13.000000,2025-10-04T02:35:13.000000,2025-10-04T05:35:13.000000,0,4,Friday,1,8.0,3.0,11.0,0
CR-25806,Update public holiday calendar in corporate Outlook accounts.,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-10-03T00:37:23.000000,2025-10-03T07:37:23.000000,2025-10-03T23:37:23.000000,0,2,Friday,1,7.0,16.0,23.0,0
CR-25807,Request for temporary guest access to internal intranet services.,Access,Neo,Neo,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-10-03T06:05:27.000000,2025-10-03T10:05:27.000000,2025-10-06T07:05:27.000000,1,1,Friday,0,4.0,69.0,73.0,1
CR-25808,Request to create and configure backup jobs for departmental database.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-10-03T13:01:40.000000,2025-10-03T17:01:40.000000,2025-10-03T23:01:40.000000,0,4,Friday,1,4.0,6.0,10.0,1
CR-25809,Activate mobile application access for workflow approvals.,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,High,Medium,Medium,Medium,2025-10-03T14:35:56.000000,,,0,1,Friday,1,0.0,0.0,0.0,0
CR-25810,Extend mailbox retention policy for legal department emails.,Facilities,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,High,2025-10-03T22:09:59.000000,2025-10-04T02:09:59.000000,2025-10-04T12:09:59.000000,0,5,Friday,1,4.0,10.0,14.0,1
CR-25811,Relocation of desktop workstation within the office premises.,Data,Captain America,Captain America,Avengers,Service B,Closed,High,High,High,Medium,2025-10-03T21:55:38.000000,2025-10-04T03:55:38.000000,2025-10-05T02:55:38.000000,1,2,Friday,0,6.0,23.0,29.0,1
CR-25812,Request for extended quota on shared email inbox.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,On Hold,Medium,Medium,Medium,Medium,2025-10-03T17:08:16.000000,,,0,1,Friday,1,0.0,0.0,0.0,0
CR-25813,Request to create test environment for application testing.,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,High,High,High,2025-10-03T13:50:42.000000,2025-10-03T20:50:42.000000,2025-10-04T20:50:42.000000,0,3,Friday,1,7.0,24.0,31.0,1
CR-25814,Add two new access points to the office Wi-Fi network.,Data,Thor,Thor,Avengers,Service A,Closed,Low,High,High,Medium,2025-10-03T03:22:43.000000,2025-10-03T11:22:43.000000,2025-10-04T10:22:43.000000,0,2,Friday,1,8.0,23.0,31.0,1
CR-25815,Add two new access points to the office Wi-Fi network.,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-10-03T17:20:50.000000,2025-10-04T01:20:50.000000,2025-10-05T11:20:50.000000,0,2,Friday,1,8.0,34.0,42.0,1
CR-25816,Upgrade virtual machine specs for training platform.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Low,Low,2025-10-03T16:40:33.000000,2025-10-03T20:40:33.000000,2025-10-04T20:40:33.000000,0,1,Friday,1,4.0,24.0,28.0,0
CR-25817,Re-enable accounts for recent employee returning after leave.,Complaint,Batman,Batman,Matrix,Service B,Closed,Medium,Medium,Medium,Low,2025-10-03T02:50:15.000000,2025-10-03T08:50:15.000000,2025-10-03T22:50:15.000000,0,2,Friday,1,6.0,14.0,20.0,0
CR-25818,Request for temporary guest access to internal intranet services.,Facilities,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,Medium,2025-10-03T07:12:37.000000,2025-10-03T15:12:37.000000,2025-10-03T23:12:37.000000,0,5,Friday,1,8.0,8.0,16.0,1
CR-25819,Create custom email signature for company branding.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-10-03T10:57:58.000000,2025-10-03T12:57:58.000000,2025-10-04T23:57:58.000000,0,1,Friday,1,2.0,35.0,37.0,1
CR-25820,Request to access internal SharePoint site for the Finance department.,Failure,Loki,Loki,Avengers,Service C,Closed,Low,Low,Low,Low,2025-10-03T20:25:35.000000,2025-10-03T23:25:35.000000,2025-10-05T09:25:35.000000,0,1,Friday,1,3.0,34.0,37.0,0
CR-25821,Upgrade virtual machine specs for training platform.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,High,High,High,2025-10-03T01:42:05.000000,2025-10-03T08:42:05.000000,2025-10-04T00:42:05.000000,0,2,Friday,1,7.0,16.0,23.0,0
CR-25822,Request to delete unused virtual machines in non-production environment.,Access,Neo,Neo,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-10-03T16:17:43.000000,2025-10-03T21:17:43.000000,2025-10-04T16:17:43.000000,0,1,Friday,1,5.0,19.0,24.0,0
CR-25823,Add two new access points to the office Wi-Fi network.,Access,Neo,Neo,Matrix,Service C,Closed,Low,High,High,High,2025-10-03T22:27:54.000000,2025-10-04T01:27:54.000000,2025-10-04T08:27:54.000000,0,2,Friday,1,3.0,7.0,10.0,0
CR-25824,Relocation of desktop workstation within the office premises.,Complaint,Iron Man,Iron Man,Avengers,Service B,On Hold,Low,High,Medium,High,2025-10-03T02:09:51.000000,,,0,2,Friday,1,0.0,0.0,0.0,0
CR-25825,Enable port redirection for database replication tasks.,Network,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-10-03T01:17:20.000000,2025-10-03T07:17:20.000000,2025-10-03T12:17:20.000000,0,4,Friday,1,6.0,5.0,11.0,1
CR-25826,Request for extended quota on shared email inbox.,Complaint,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,High,High,2025-10-03T13:55:20.000000,2025-10-03T20:55:20.000000,2025-10-04T16:55:20.000000,0,2,Friday,1,7.0,20.0,27.0,1
CR-25827,Setup repository access for junior developers.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Critical,Medium,High,2025-10-03T10:29:01.000000,2025-10-03T12:29:01.000000,2025-10-03T17:29:01.000000,0,4,Friday,1,2.0,5.0,7.0,1
CR-25828,Request to create a new distribution list for the Marketing team.,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Low,Low,Low,2025-10-03T05:53:39.000000,2025-10-03T08:53:39.000000,2025-10-04T16:53:39.000000,1,1,Friday,0,3.0,32.0,35.0,0
CR-25829,Request to enable remote access to on-site servers.,Hardware,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-10-03T02:27:41.000000,2025-10-03T08:27:41.000000,2025-10-03T20:27:41.000000,0,1,Friday,1,6.0,12.0,18.0,0
CR-25830,User asking for permissions to install additional software.,Network,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-10-03T16:34:52.000000,2025-10-03T20:34:52.000000,2025-10-04T02:34:52.000000,0,4,Friday,1,4.0,6.0,10.0,1
CR-25831,Request to reset password for employee account.,Access,Shang Chi,Shang Chi,Avengers II,Service C,In Progress,Low,Medium,Medium,Low,2025-10-03T11:34:34.000000,2025-10-03T14:34:34.000000,,0,1,Friday,1,3.0,0.0,0.0,0
CR-25832,Request to adjust permissions on shared inbox handling invoices.,Hardware,Loki,Loki,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-10-03T04:29:18.000000,2025-10-03T10:29:18.000000,2025-10-05T15:29:18.000000,0,0,Friday,1,6.0,53.0,59.0,1
CR-25833,Request to create and configure backup jobs for departmental database.,Complaint,John Cena,John Cena,Matrix,Service B,Closed,Low,Low,Low,Low,2025-10-03T06:58:44.000000,2025-10-03T13:58:44.000000,2025-10-05T07:58:44.000000,1,1,Friday,0,7.0,42.0,49.0,0
CR-25834,Request to create container image repository for DevOps team.,Data,Thor,Thor,Avengers,Service A,Closed,High,High,High,Low,2025-10-03T18:19:45.000000,2025-10-03T20:19:45.000000,2025-10-04T05:19:45.000000,0,2,Friday,1,2.0,9.0,11.0,0
CR-25835,Install licensed Microsoft Visio on a department computer.,Access,Hulk,Hulk,Avengers,Service B,Closed,Low,Critical,High,High,2025-10-03T07:29:11.000000,2025-10-03T13:29:11.000000,2025-10-03T22:29:11.000000,0,4,Friday,1,6.0,9.0,15.0,1
CR-25836,Relocation of desktop workstation within the office premises.,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,High,High,High,2025-10-03T22:22:48.000000,2025-10-04T05:22:48.000000,2025-10-04T14:22:48.000000,0,2,Friday,1,7.0,9.0,16.0,0
CR-25837,Request to delete unused virtual machines in non-production environment.,Complaint,Thor,Thor,Avengers,Service C,In Progress,Medium,Medium,Low,Low,2025-10-03T07:29:12.000000,2025-10-03T13:29:12.000000,,0,1,Friday,1,6.0,0.0,0.0,0
CR-25838,Install Adobe Creative Suite on workstation for design team.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,High,High,2025-10-03T03:56:58.000000,2025-10-03T06:56:58.000000,2025-10-03T19:56:58.000000,1,2,Friday,0,3.0,13.0,16.0,0
CR-25839,Create subdomain for new departmental website launch.,Complaint,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,Medium,High,2025-10-03T23:01:38.000000,2025-10-04T05:01:38.000000,2025-10-04T12:01:38.000000,0,2,Friday,1,6.0,7.0,13.0,0
CR-25840,Troubleshoot application access issues related to role change.,Software,Captain America,Captain America,Avengers,Service A,In Progress,High,Critical,High,High,2025-10-03T02:07:21.000000,2025-10-03T07:07:21.000000,,1,3,Friday,0,5.0,0.0,0.0,0
CR-25841,Provision external storage for graphics design project.,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-10-03T00:50:59.000000,2025-10-03T05:50:59.000000,2025-10-05T20:50:59.000000,0,0,Friday,1,5.0,63.0,68.0,1
CR-25842,Activate mobile application access for workflow approvals.,Network,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-10-03T08:35:16.000000,2025-10-03T11:35:16.000000,2025-10-04T11:35:16.000000,0,2,Friday,1,3.0,24.0,27.0,0
CR-25843,Update employee badge photo in internal directory.,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,High,High,High,2025-10-03T14:12:13.000000,2025-10-03T22:12:13.000000,2025-10-04T14:12:13.000000,0,2,Friday,1,8.0,16.0,24.0,0
CR-25844,Request for temporary guest access to internal intranet services.,Failure,Captain America,Captain America,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-10-03T23:21:17.000000,2025-10-04T04:21:17.000000,2025-10-05T03:21:17.000000,0,1,Friday,1,5.0,23.0,28.0,0
CR-25845,Install Adobe Creative Suite on workstation for design team.,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Critical,High,High,2025-10-03T16:18:23.000000,2025-10-03T22:18:23.000000,2025-10-04T05:18:23.000000,0,4,Friday,1,6.0,7.0,13.0,1
CR-25846,Extend mailbox retention policy for legal department emails.,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-10-03T08:08:20.000000,2025-10-03T14:08:20.000000,2025-10-04T00:08:20.000000,1,3,Friday,0,6.0,10.0,16.0,1
CR-25847,Add two new access points to the office Wi-Fi network.,Software,Thor,Thor,Avengers,Service B,Closed,Low,High,High,High,2025-10-03T03:15:17.000000,2025-10-03T08:15:17.000000,2025-10-04T08:15:17.000000,0,3,Friday,1,5.0,24.0,29.0,1
CR-25848,Request to create container image repository for DevOps team.,Network,John Wick,John Wick,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-10-03T16:17:19.000000,2025-10-04T00:17:19.000000,2025-10-04T20:17:19.000000,0,1,Friday,1,8.0,20.0,28.0,0
CR-25849,Extend mailbox retention policy for legal department emails.,Access,Captain America,Captain America,Avengers,Service C,Closed,Medium,Medium,Medium,Low,2025-10-03T06:37:33.000000,2025-10-03T08:37:33.000000,2025-10-04T19:37:33.000000,0,2,Friday,1,2.0,35.0,37.0,1
CR-25850,Provisioning of VPN access for third-party vendor consultants.,Failure,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-10-03T11:22:34.000000,2025-10-03T14:22:34.000000,2025-10-05T02:22:34.000000,0,2,Friday,1,3.0,36.0,39.0,1
CR-25851,Provision special access profiles for GDPR compliance audits.,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-10-03T12:26:34.000000,2025-10-03T19:26:34.000000,2025-10-04T05:26:34.000000,1,2,Friday,0,7.0,10.0,17.0,0
CR-25852,Request to move group mailbox ownership to new manager.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-10-03T14:06:59.000000,2025-10-03T16:06:59.000000,2025-10-04T11:06:59.000000,0,1,Friday,1,2.0,19.0,21.0,0
CR-25853,Request to adjust permissions on shared inbox handling invoices.,Complaint,Loki,Loki,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-10-03T09:45:31.000000,2025-10-03T11:45:31.000000,2025-10-04T17:45:31.000000,0,2,Friday,1,2.0,30.0,32.0,1
CR-25854,Install licensed Microsoft Visio on a department computer.,Software,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-10-03T12:01:51.000000,2025-10-03T16:01:51.000000,2025-10-04T08:01:51.000000,0,2,Friday,1,4.0,16.0,20.0,0
CR-25855,Backup and restore files deleted by mistake on shared drive.,Complaint,John Cena,John Cena,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-10-03T17:38:44.000000,2025-10-03T21:38:44.000000,2025-10-04T21:38:44.000000,0,2,Friday,1,4.0,24.0,28.0,0
CR-25856,Configure alerts for reporting dashboard thresholds.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-10-03T07:13:14.000000,2025-10-03T12:13:14.000000,2025-10-04T18:13:14.000000,0,2,Friday,1,5.0,30.0,35.0,1
CR-25857,Request to access internal SharePoint site for the Finance department.,Access,Thor,Thor,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-10-03T09:16:04.000000,2025-10-03T13:16:04.000000,2025-10-04T22:16:04.000000,0,2,Friday,1,4.0,33.0,37.0,1
CR-25858,Grant access to restricted database for data analytics intern.,Data,Captain America,Captain America,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-10-03T07:12:43.000000,2025-10-03T15:12:43.000000,2025-10-04T05:12:43.000000,0,1,Friday,1,8.0,14.0,22.0,0
CR-25859,Update employee badge photo in internal directory.,Hardware,John Cena,John Cena,Matrix,Service A,On Hold,High,Medium,Medium,Medium,2025-10-03T04:02:47.000000,,,0,2,Friday,1,0.0,0.0,0.0,0
CR-25860,Troubleshoot application access issues related to role change.,Network,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-10-03T08:34:34.000000,2025-10-03T11:34:34.000000,2025-10-03T12:34:34.000000,0,3,Friday,1,3.0,1.0,4.0,0
CR-25861,Replace hardware for malfunctioning conference room equipment.,Failure,Loki,Loki,Avengers,Service B,Closed,High,Critical,High,High,2025-10-03T05:32:47.000000,2025-10-03T13:32:47.000000,2025-10-03T22:32:47.000000,0,3,Friday,1,8.0,9.0,17.0,1
CR-25862,Request to create test environment for application testing.,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-10-03T12:04:06.000000,2025-10-03T19:04:06.000000,2025-10-04T10:04:06.000000,0,3,Friday,1,7.0,15.0,22.0,0
CR-25863,Request to create and configure backup jobs for departmental database.,Software,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-10-03T01:01:00.000000,2025-10-03T06:01:00.000000,2025-10-03T23:01:00.000000,0,2,Friday,1,5.0,17.0,22.0,0
