Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-27501,Database transaction rollback error flagged for audit.,Network,Michal,Black Panther,Avengers II,Service B,Closed,Low,Medium,High,Medium,16/09/2025 07:08:28,16/09/2025 09:39:29,17/09/2025 20:32:55,Tuesday,17/09/2025 20:32:55
CR-27502,Web application timeout: Performance degradation observed.,Complaint,Hulk,Thor,Avengers,Service A,Closed,High,Medium,Medium,Low,16/09/2025 16:38:22,16/09/2025 19:58:33,18/09/2025 01:41:54,Tuesday,18/09/2025 01:41:54
CR-27503,Suspicious behavior: Multiple failed login attempts detected.,Network,Iron Man,Jan,Avengers II,Service C,Closed,Low,High,Medium,Low,16/09/2025 03:54:49,16/09/2025 10:08:46,17/09/2025 17:40:57,Tuesday,17/09/2025 17:40:57
CR-27504,Ransomware attack detected: Encrypted files observed on endpoint.,Failure,John Wick,Iron Man,Avengers,Service B,Closed,High,Medium,High,Medium,16/09/2025 23:30:24,17/09/2025 03:54:46,17/09/2025 09:57:27,Tuesday,17/09/2025 09:57:27
CR-27505,Failed malware removal: Corrupted file system detected.,Software,Michal,John Wick,Avengers II,Service C,Closed,Low,Low,Medium,Low,16/09/2025 06:21:33,16/09/2025 14:12:16,17/09/2025 08:02:52,Tuesday,17/09/2025 08:02:52
CR-27506,Suspicious behavior: Multiple failed login attempts detected.,Failure,Jan,Thor,Avengers II,Service A,Closed,High,Low,Medium,High,16/09/2025 13:41:09,16/09/2025 20:12:43,17/09/2025 11:20:46,Tuesday,17/09/2025 11:20:46
CR-27507,Email flagged as phishing: Sensitive keywords detected.,Complaint,John Wick,Thor,Avengers,Service A,Closed,Low,High,Medium,High,16/09/2025 01:29:43,16/09/2025 09:28:58,17/09/2025 05:21:42,Tuesday,17/09/2025 05:21:42
CR-27508,Security patch missing: Update not applied on critical server.,Facilities,Michal,Thor,Avengers II,Service A,Closed,High,Medium,Medium,Low,16/09/2025 11:01:53,16/09/2025 18:59:39,18/09/2025 06:34:42,Tuesday,18/09/2025 06:34:42
CR-27509,Firewall breach: Unauthorized access through open port.,Access,Captain America,Iron Man,Avengers,Service A,New,High,Low,Medium,Low,16/09/2025 09:00:07,,,Tuesday,
CR-27510,Security patch applied: Monitoring for any issues.,Software,Black Panther,Jan,Avengers II,Service C,Closed,High,Low,Low,Medium,16/09/2025 22:50:44,17/09/2025 05:17:41,18/09/2025 01:44:59,Tuesday,18/09/2025 01:44:59
CR-27511,Failed encryption process: Unable to secure sensitive data.,Data,Thor,Jan,Matrix,Service A,Closed,Low,High,High,High,16/09/2025 23:55:20,17/09/2025 03:22:04,18/09/2025 22:47:27,Tuesday,18/09/2025 22:47:27
CR-27512,Cloud instance misconfiguration: Public access enabled.,Network,Black Panther,Michal,Avengers,Service C,Closed,High,High,Low,High,16/09/2025 05:34:57,16/09/2025 14:30:27,17/09/2025 01:31:45,Tuesday,17/09/2025 01:31:45
CR-27513,Firewall breach: Unauthorized access through open port.,Network,Jan,Peter,Avengers,Service C,Closed,High,Medium,Low,Medium,16/09/2025 01:15:43,16/09/2025 06:26:07,17/09/2025 04:47:48,Tuesday,17/09/2025 04:47:48
CR-27514,Unscheduled file deletion detected on shared drive.,Data,Jan,Black Panther,Avengers II,Service A,Closed,High,Medium,Medium,Medium,16/09/2025 02:50:47,16/09/2025 09:05:13,17/09/2025 08:55:19,Tuesday,17/09/2025 08:55:19
CR-27515,Power failure simulation triggered during red team activity.,Hardware,Michal,Hulk,Matrix,Service B,Closed,High,Low,Low,High,16/09/2025 07:32:41,16/09/2025 12:10:13,17/09/2025 21:12:36,Tuesday,17/09/2025 21:12:36
CR-27516,Failed cloud synchronization: Files cannot be uploaded.,Network,Michal,Peter,Avengers,Service A,Closed,High,Low,Low,High,16/09/2025 23:37:10,17/09/2025 07:02:13,17/09/2025 21:10:05,Tuesday,17/09/2025 21:10:05
CR-27517,Endpoint offline: Device not syncing with central server.,Complaint,Peter,Hulk,Matrix,Service B,Closed,High,Medium,Medium,Medium,16/09/2025 23:34:40,17/09/2025 07:00:21,19/09/2025 00:37:41,Tuesday,19/09/2025 00:37:41
CR-27518,Unpatched vulnerability flagged: CVE report mismatch detected.,Facilities,Hulk,Michal,Avengers,Service B,Closed,Low,High,Low,High,16/09/2025 05:19:53,16/09/2025 08:19:27,17/09/2025 12:50:35,Tuesday,17/09/2025 12:50:35
CR-27519,Data exfiltration alert: Large outbound transfer from server.,Complaint,John Wick,Jan,Matrix,Service B,In Progress,Low,High,Medium,Medium,16/09/2025 06:31:32,16/09/2025 10:44:27,,Tuesday,
CR-27520,Memory exhaustion detected: Application terminated unexpectedly.,Software,Jan,Hulk,Matrix,Service A,Closed,High,Medium,High,High,16/09/2025 18:07:55,16/09/2025 20:12:07,17/09/2025 02:04:23,Tuesday,17/09/2025 02:04:23
CR-27521,Failed cloud synchronization: Files cannot be uploaded.,Access,Martin,Peter,Matrix,Service A,Closed,High,Low,High,Low,16/09/2025 16:27:50,16/09/2025 19:46:28,17/09/2025 16:30:29,Tuesday,17/09/2025 16:30:29
CR-27522,Critical alert: Database server overload detected.,Access,Peter,John Wick,Avengers,Service C,Closed,Low,Medium,Low,Medium,16/09/2025 07:17:51,16/09/2025 14:53:13,17/09/2025 18:02:49,Tuesday,17/09/2025 18:02:49
CR-27523,Web application timeout: Performance degradation observed.,Facilities,Peter,Thor,Matrix,Service B,Closed,High,Low,High,High,16/09/2025 22:27:03,17/09/2025 05:28:28,18/09/2025 07:46:32,Tuesday,18/09/2025 07:46:32
CR-27524,ARP spoofing detected: Network traffic rerouted.,Failure,Martin,Martin,Matrix,Service C,Closed,Medium,High,Low,High,16/09/2025 18:59:25,16/09/2025 22:56:40,17/09/2025 22:58:32,Tuesday,17/09/2025 22:58:32
CR-27525,Data download from personal device flagged for review.,Network,Michal,Martin,Avengers,Service C,Closed,High,Low,Low,Low,16/09/2025 17:19:54,16/09/2025 23:39:55,18/09/2025 18:47:51,Tuesday,18/09/2025 18:47:51
CR-27526,DDoS attack mitigation active: Rate-limiting initiated.,Network,Michal,Michal,Avengers II,Service B,Closed,Low,Medium,High,Low,16/09/2025 08:07:50,16/09/2025 11:57:58,18/09/2025 03:34:09,Tuesday,18/09/2025 03:34:09
CR-27527,Suspicious API calls detected: Abnormal volume of requests identified.,Hardware,Jan,Peter,Avengers,Service C,Closed,Medium,Low,Medium,Low,16/09/2025 01:55:28,16/09/2025 07:47:21,17/09/2025 12:32:55,Tuesday,17/09/2025 12:32:55
CR-27528,Malicious macro executed within Office file.,Failure,Hulk,Jan,Matrix,Service C,Closed,Medium,Low,Medium,Medium,16/09/2025 03:27:21,16/09/2025 09:19:07,17/09/2025 23:42:08,Tuesday,17/09/2025 23:42:08
CR-27529,Failed malware removal: Corrupted file system detected.,Facilities,Captain America,Peter,Avengers,Service B,Closed,Low,High,Medium,Low,16/09/2025 04:43:16,16/09/2025 09:36:11,17/09/2025 07:37:32,Tuesday,17/09/2025 07:37:32
CR-27530,Internal network inaccessible: Ping requests time out.,Facilities,Hulk,Peter,Matrix,Service C,In Progress,Medium,Low,High,Medium,16/09/2025 13:47:42,16/09/2025 20:18:15,,Tuesday,
CR-27531,Failed Workflow - ID: 0000,Facilities,Black Panther,Michal,Avengers II,Service C,Closed,High,Medium,Low,High,16/09/2025 17:20:14,16/09/2025 20:55:07,18/09/2025 11:51:29,Tuesday,18/09/2025 11:51:29
CR-27532,Web server certificate expired: Issue flagged for priority teams.,Software,Michal,Iron Man,Matrix,Service B,Closed,Low,Low,Low,Medium,16/09/2025 06:20:21,16/09/2025 14:04:41,17/09/2025 17:40:32,Tuesday,17/09/2025 17:40:32
CR-27533,Critical system alert: Root access attempted on production server.,Access,John Wick,Martin,Avengers II,Service B,Closed,Medium,Medium,Low,Low,16/09/2025 18:13:07,17/09/2025 02:14:26,18/09/2025 17:58:04,Tuesday,18/09/2025 17:58:04
CR-27534,Access request denied: Policy mismatch.,Facilities,Captain America,Martin,Avengers,Service A,Closed,High,Low,High,High,16/09/2025 11:11:52,16/09/2025 13:50:43,17/09/2025 01:04:50,Tuesday,17/09/2025 01:04:50
CR-27535,Network congestion: High bandwidth usage flagged.,Complaint,Black Panther,Martin,Avengers,Service B,Closed,Medium,High,High,Low,16/09/2025 20:46:05,16/09/2025 23:01:19,17/09/2025 17:00:29,Tuesday,17/09/2025 17:00:29
CR-27536,Privileged account login attempt: Microsoft Admin flagged.,Data,Martin,Captain America,Avengers,Service A,Closed,Low,High,Low,Low,16/09/2025 04:45:07,16/09/2025 10:56:24,16/09/2025 16:47:03,Tuesday,16/09/2025 16:47:03
CR-27537,Backup server unreachable: Error code 502.,Software,Jan,Thor,Avengers II,Service A,Closed,Low,Medium,High,High,16/09/2025 01:25:23,16/09/2025 05:59:47,17/09/2025 21:01:17,Tuesday,17/09/2025 21:01:17
CR-27538,Email flagged as phishing: Sensitive keywords detected.,Complaint,Iron Man,Iron Man,Avengers II,Service B,Closed,Medium,Medium,Low,Medium,16/09/2025 13:41:44,16/09/2025 18:19:14,18/09/2025 07:51:26,Tuesday,18/09/2025 07:51:26
CR-27539,Unauthorized access attempt detected: IP flagged as suspicious.,Software,Peter,John Wick,Matrix,Service B,Closed,High,Medium,Low,High,16/09/2025 13:12:53,16/09/2025 21:04:04,18/09/2025 15:23:21,Tuesday,18/09/2025 15:23:21
CR-27540,Endpoint offline: Device not syncing with central server.,Network,Jan,Hulk,Matrix,Service B,Closed,Medium,High,Low,Low,16/09/2025 09:03:13,16/09/2025 14:36:36,16/09/2025 23:32:24,Tuesday,16/09/2025 23:32:24
CR-27541,Dark web monitoring alert: Credentials detected for sale online.,Data,John Wick,Peter,Avengers,Service A,Closed,High,Medium,Medium,Low,16/09/2025 18:47:10,16/09/2025 23:38:38,18/09/2025 07:09:25,Tuesday,18/09/2025 07:09:25
CR-27542,DDoS attack detected: High traffic spotted on critical service.,Data,Iron Man,Michal,Avengers II,Service A,Closed,Medium,Low,High,Low,16/09/2025 14:27:17,16/09/2025 22:15:58,18/09/2025 04:55:42,Tuesday,18/09/2025 04:55:42
CR-27543,Unusual system reboot detected on DevOps environment.,Facilities,Michal,Martin,Matrix,Service C,Closed,Low,Medium,Low,Medium,16/09/2025 12:55:31,16/09/2025 18:02:19,17/09/2025 01:56:42,Tuesday,17/09/2025 01:56:42
CR-27544,Database schema corruption: Unable to read or query data tables.,Network,Black Panther,Thor,Matrix,Service A,Closed,Low,High,Medium,Medium,16/09/2025 20:10:25,16/09/2025 22:23:59,17/09/2025 04:33:48,Tuesday,17/09/2025 04:33:48
CR-27545,Failed malware removal: Corrupted file system detected.,Network,Captain America,Martin,Matrix,Service C,Closed,Medium,Medium,High,Medium,16/09/2025 21:28:32,17/09/2025 02:33:31,18/09/2025 07:18:23,Tuesday,18/09/2025 07:18:23
CR-27546,File integrity check failed: Data corruption suspected.,Failure,Hulk,Black Panther,Matrix,Service C,Closed,Low,Low,Low,Low,16/09/2025 06:23:11,16/09/2025 11:31:17,17/09/2025 22:48:15,Tuesday,17/09/2025 22:48:15
CR-27547,Memory exhaustion detected: Application terminated unexpectedly.,Access,Black Panther,Jan,Avengers II,Service B,Closed,Low,High,High,High,16/09/2025 23:55:51,17/09/2025 06:30:26,19/09/2025 02:09:36,Tuesday,19/09/2025 02:09:36
CR-27548,Unauthorized user session hijacked on browser.,Data,Martin,Hulk,Matrix,Service B,Closed,Low,Medium,Medium,Medium,16/09/2025 00:31:17,16/09/2025 06:36:53,17/09/2025 09:53:59,Tuesday,17/09/2025 09:53:59
CR-27549,Internal network inaccessible: Ping requests time out.,Hardware,Iron Man,Michal,Matrix,Service B,Closed,Low,Medium,High,High,16/09/2025 08:58:51,16/09/2025 13:59:34,17/09/2025 08:24:35,Tuesday,17/09/2025 08:24:35
CR-27550,File integrity check failed: Data corruption suspected.,Network,Thor,Hulk,Avengers II,Service C,Closed,Low,High,High,Low,16/09/2025 09:07:52,16/09/2025 17:17:03,18/09/2025 07:44:54,Tuesday,18/09/2025 07:44:54
CR-27551,Failed encryption process: Unable to secure sensitive data.,Data,Martin,Black Panther,Matrix,Service B,Closed,High,High,Medium,Medium,16/09/2025 02:22:46,16/09/2025 04:27:33,16/09/2025 19:56:38,Tuesday,16/09/2025 19:56:38
CR-27552,Failed packet inspection: Firewall rules misconfigured.,Software,Black Panther,Martin,Avengers,Service C,Closed,Low,Medium,High,Medium,16/09/2025 13:29:12,16/09/2025 21:02:25,18/09/2025 01:59:24,Tuesday,18/09/2025 01:59:24
CR-27553,Social engineering attempt flagged: Fake support request identified.,Hardware,Captain America,Thor,Avengers,Service A,Closed,Low,Medium,Low,Medium,16/09/2025 16:45:07,16/09/2025 20:59:18,17/09/2025 00:20:30,Tuesday,17/09/2025 00:20:30
CR-27554,Unscheduled software change: Application version rolled back.,Software,Captain America,Martin,Matrix,Service A,Closed,Medium,High,Low,Low,16/09/2025 06:50:33,16/09/2025 11:34:40,17/09/2025 04:27:41,Tuesday,17/09/2025 04:27:41
CR-27555,Unauthorized access attempt detected: IP flagged as suspicious.,Access,Martin,Captain America,Matrix,Service C,Closed,Medium,Medium,High,High,16/09/2025 11:55:53,16/09/2025 17:23:45,16/09/2025 22:06:54,Tuesday,16/09/2025 22:06:54
CR-27556,Database schema corruption: Unable to read or query data tables.,Network,Thor,Iron Man,Matrix,Service A,Closed,Medium,Medium,High,Medium,16/09/2025 11:33:09,16/09/2025 16:07:56,16/09/2025 19:56:58,Tuesday,16/09/2025 19:56:58
CR-27557,Failed cloud synchronization: Files cannot be uploaded.,Data,Thor,Jan,Avengers,Service A,New,Medium,Medium,High,High,16/09/2025 05:40:17,,,Tuesday,
CR-27558,Malware detected on endpoint: Quarantine initiated.,Failure,Iron Man,Captain America,Avengers,Service A,Closed,Low,Low,Low,High,16/09/2025 09:01:21,16/09/2025 13:21:08,18/09/2025 02:09:31,Tuesday,18/09/2025 02:09:31
CR-27559,Failed Workflow - ID: 0000,Network,Thor,Martin,Avengers,Service C,Closed,High,Low,Low,Medium,16/09/2025 02:47:34,16/09/2025 10:38:50,16/09/2025 12:46:33,Tuesday,16/09/2025 12:46:33
CR-27560,Database transaction rollback error flagged for audit.,Access,Black Panther,Michal,Avengers,Service C,Closed,High,High,Medium,Medium,16/09/2025 17:01:33,16/09/2025 21:16:12,17/09/2025 15:20:06,Tuesday,17/09/2025 15:20:06
CR-27561,VPN connection failure: Unable to securely tunnel data.,Complaint,Jan,Jan,Avengers,Service A,Closed,Medium,Low,Medium,Medium,16/09/2025 00:49:18,16/09/2025 06:30:30,16/09/2025 19:04:04,Tuesday,16/09/2025 19:04:04
CR-27562,Login attempt from blacklisted IP address blocked.,Data,Peter,Peter,Avengers II,Service A,Closed,High,Medium,Low,High,16/09/2025 09:19:49,16/09/2025 17:42:59,17/09/2025 08:23:08,Tuesday,17/09/2025 08:23:08
CR-27563,Access request denied: Policy mismatch.,Hardware,John Wick,Black Panther,Avengers,Service B,New,Low,High,High,Low,16/09/2025 18:53:16,,,Tuesday,
CR-27564,Network issue: Unable to connect to external API.,Network,Iron Man,Martin,Avengers,Service B,Closed,High,High,Low,Low,16/09/2025 13:02:51,16/09/2025 18:27:51,17/09/2025 18:57:27,Tuesday,17/09/2025 18:57:27
CR-27565,Locked account: Excessive password retry attempts.,Access,Black Panther,Michal,Matrix,Service A,Closed,Low,Medium,Low,Medium,16/09/2025 02:27:52,16/09/2025 06:03:05,18/09/2025 00:55:27,Tuesday,18/09/2025 00:55:27
CR-27566,DDoS attack detected: High traffic spotted on critical service.,Access,Jan,Iron Man,Avengers,Service B,Closed,Medium,Medium,High,Low,16/09/2025 19:57:15,17/09/2025 04:19:10,17/09/2025 23:40:49,Tuesday,17/09/2025 23:40:49
CR-27567,Locked account: Excessive password retry attempts.,Data,Hulk,Martin,Avengers,Service A,Closed,High,Medium,Medium,High,16/09/2025 13:47:49,16/09/2025 18:30:07,16/09/2025 23:59:01,Tuesday,16/09/2025 23:59:01
CR-27568,Critical system alert: Root access attempted on production server.,Failure,Thor,John Wick,Matrix,Service A,Closed,Medium,Medium,Low,High,16/09/2025 03:12:09,16/09/2025 08:36:51,16/09/2025 21:35:10,Tuesday,16/09/2025 21:35:10
CR-27569,Unauthorized device connected: MAC address not whitelisted.,Software,Thor,Jan,Matrix,Service C,On Hold,High,Medium,High,High,16/09/2025 19:19:34,,,Tuesday,
CR-27570,Unscheduled file deletion detected on shared drive.,Failure,Michal,Martin,Matrix,Service C,Closed,Low,Medium,High,Medium,16/09/2025 21:15:11,17/09/2025 02:16:39,17/09/2025 18:56:45,Tuesday,17/09/2025 18:56:45
CR-27571,Data exfiltration alert: High outbound traffic flagged.,Failure,Thor,Iron Man,Matrix,Service B,Closed,Low,High,Medium,High,16/09/2025 02:07:46,16/09/2025 11:06:56,17/09/2025 00:56:51,Tuesday,17/09/2025 00:56:51
CR-27572,Suspicious login activity detected: High volume of logins from Device B.,Facilities,Peter,Black Panther,Avengers II,Service B,Closed,High,High,High,Low,16/09/2025 01:46:18,16/09/2025 05:26:37,16/09/2025 13:48:03,Tuesday,16/09/2025 13:48:03
CR-27573,Unauthorized access attempt detected: IP flagged as suspicious.,Software,Michal,Thor,Matrix,Service B,Closed,Low,Medium,Low,Low,16/09/2025 02:52:16,16/09/2025 09:01:54,17/09/2025 01:10:21,Tuesday,17/09/2025 01:10:21
CR-27574,Cross-site scripting (XSS) detected on customer portal.,Facilities,Michal,Peter,Avengers,Service C,Closed,High,Low,Medium,Low,16/09/2025 17:57:49,16/09/2025 20:53:28,18/09/2025 13:37:26,Tuesday,18/09/2025 13:37:26
CR-27575,VPN connection failure: Unable to securely tunnel data.,Network,Iron Man,Jan,Matrix,Service C,New,Low,Medium,Medium,Low,16/09/2025 23:28:12,,,Tuesday,
CR-27576,Cloud misconfiguration alert: Public exposure of sensitive data.,Complaint,Martin,Jan,Avengers II,Service A,Closed,High,Low,Medium,Medium,17/09/2025 15:37:49,17/09/2025 17:52:45,18/09/2025 19:08:58,Wednesday,18/09/2025 19:08:58
CR-27577,Suspicious activity detected on account: User A.,Failure,Black Panther,Captain America,Matrix,Service A,Closed,Low,High,Low,Low,17/09/2025 23:15:00,18/09/2025 07:56:39,19/09/2025 09:15:15,Wednesday,19/09/2025 09:15:15
CR-27578,Data exfiltration alert: High outbound traffic flagged.,Hardware,John Wick,Hulk,Avengers,Service A,Closed,Low,Low,Low,High,17/09/2025 21:49:53,18/09/2025 02:33:09,18/09/2025 12:46:41,Wednesday,18/09/2025 12:46:41
CR-27579,Email flagged as phishing: Sensitive keywords detected.,Complaint,Iron Man,Thor,Matrix,Service B,Closed,High,High,High,High,17/09/2025 17:19:00,17/09/2025 20:29:20,18/09/2025 05:22:01,Wednesday,18/09/2025 05:22:01
CR-27580,Unscheduled software change: Application version rolled back.,Network,Iron Man,John Wick,Avengers II,Service C,Closed,High,Low,High,Low,17/09/2025 18:23:09,18/09/2025 00:34:24,18/09/2025 17:07:40,Wednesday,18/09/2025 17:07:40
CR-27581,Performance report: Sluggish response times on application.,Data,Hulk,Captain America,Avengers II,Service C,On Hold,Medium,High,Low,Medium,17/09/2025 16:07:04,,,Wednesday,
CR-27582,Web server certificate expired: Issue flagged for priority teams.,Software,Peter,Michal,Matrix,Service A,Closed,Medium,Low,Medium,High,17/09/2025 15:37:20,17/09/2025 22:21:59,19/09/2025 13:29:39,Wednesday,19/09/2025 13:29:39
CR-27583,Antivirus disabled on workstation: Protection compromised.,Network,John Wick,Michal,Avengers II,Service A,Closed,Medium,Medium,High,Low,17/09/2025 15:11:57,17/09/2025 18:50:28,19/09/2025 09:13:24,Wednesday,19/09/2025 09:13:24
CR-27584,Cross-site scripting (XSS) detected on customer portal.,Network,Michal,Thor,Avengers II,Service B,Closed,High,Medium,High,Medium,17/09/2025 05:09:52,17/09/2025 13:37:11,18/09/2025 14:41:59,Wednesday,18/09/2025 14:41:59
CR-27585,Red team simulation detected: Penetration testing execution.,Network,Hulk,Michal,Matrix,Service A,Closed,Medium,High,Low,Low,17/09/2025 19:41:06,17/09/2025 22:41:33,18/09/2025 22:35:32,Wednesday,18/09/2025 22:35:32
CR-27586,Access request denied: Policy mismatch.,Data,Captain America,Michal,Avengers II,Service C,Closed,Medium,Low,Medium,High,17/09/2025 17:04:19,17/09/2025 22:49:15,19/09/2025 16:16:43,Wednesday,19/09/2025 16:16:43
CR-27587,Unencrypted sensitive file shared externally.,Failure,Captain America,Captain America,Avengers,Service C,Closed,Medium,Medium,Low,High,17/09/2025 21:46:07,18/09/2025 02:40:03,19/09/2025 19:50:13,Wednesday,19/09/2025 19:50:13
CR-27588,Social engineering attempt flagged: Fake support request identified.,Failure,Michal,Iron Man,Avengers,Service C,Closed,High,High,Low,Medium,17/09/2025 01:48:35,17/09/2025 09:28:44,18/09/2025 06:20:57,Wednesday,18/09/2025 06:20:57
CR-27589,USB device blocked: Removable media protection active.,Facilities,Peter,Martin,Matrix,Service B,Closed,Medium,High,Medium,Medium,17/09/2025 05:04:55,17/09/2025 08:59:40,19/09/2025 00:45:55,Wednesday,19/09/2025 00:45:55
CR-27590,Network scanning tool triggered security alert.,Complaint,Peter,Captain America,Matrix,Service A,Closed,Medium,High,Medium,Low,17/09/2025 00:29:27,17/09/2025 08:28:16,19/09/2025 00:18:57,Wednesday,19/09/2025 00:18:57
CR-27591,Backup failure: Unable to restore files from recovery system.,Complaint,Michal,Martin,Avengers II,Service C,Closed,Low,Medium,High,High,17/09/2025 11:50:59,17/09/2025 14:03:01,18/09/2025 13:54:50,Wednesday,18/09/2025 13:54:50
CR-27592,Suspicious behavior: Multiple failed login attempts detected.,Software,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Low,High,17/09/2025 11:24:45,17/09/2025 16:32:01,19/09/2025 08:38:47,Wednesday,19/09/2025 08:38:47
CR-27593,Data exfiltration alert: Large outbound transfer from server.,Facilities,Michal,Michal,Avengers II,Service C,Closed,Low,High,High,High,17/09/2025 14:21:09,17/09/2025 17:06:38,18/09/2025 14:55:30,Wednesday,18/09/2025 14:55:30
CR-27594,Failed cloud synchronization: Files cannot be uploaded.,Failure,Peter,John Wick,Avengers,Service C,Closed,High,Medium,Low,Medium,17/09/2025 18:44:47,18/09/2025 03:16:33,19/09/2025 02:21:37,Wednesday,19/09/2025 02:21:37
CR-27595,Failed security training attempt recorded in training portal.,Facilities,John Wick,Captain America,Avengers II,Service B,Closed,Low,High,Low,Medium,17/09/2025 16:48:52,17/09/2025 19:33:25,18/09/2025 00:34:28,Wednesday,18/09/2025 00:34:28
CR-27596,Security patch applied: Monitoring for any issues.,Network,Jan,Jan,Avengers II,Service C,Closed,Low,High,High,High,17/09/2025 11:56:22,17/09/2025 17:15:39,18/09/2025 14:34:03,Wednesday,18/09/2025 14:34:03
CR-27597,Unpatched vulnerability flagged: CVE report mismatch detected.,Hardware,Black Panther,Peter,Avengers,Service B,Closed,Low,Low,Low,High,17/09/2025 04:28:25,17/09/2025 07:38:10,18/09/2025 11:54:46,Wednesday,18/09/2025 11:54:46
CR-27598,Unusual system reboot detected on DevOps environment.,Software,Hulk,John Wick,Avengers,Service A,New,Medium,Low,High,High,17/09/2025 20:13:19,,,Wednesday,
CR-27599,Malicious macro executed within Office file.,Facilities,Michal,Hulk,Avengers,Service B,Closed,High,Low,Low,Low,17/09/2025 12:43:26,17/09/2025 15:15:44,19/09/2025 00:05:29,Wednesday,19/09/2025 00:05:29
CR-27600,Firewall breach: Unauthorized access through open port.,Facilities,John Wick,Captain America,Avengers II,Service B,Closed,Medium,Medium,Low,Low,17/09/2025 01:39:58,17/09/2025 06:04:54,18/09/2025 10:51:39,Wednesday,18/09/2025 10:51:39
CR-27601,Data download from personal device flagged for review.,Access,Thor,Peter,Avengers,Service B,New,High,High,Low,High,17/09/2025 11:00:15,,,Wednesday,
CR-27602,Unauthorized access attempt detected: IP flagged as suspicious.,Data,John Wick,Black Panther,Matrix,Service C,Closed,Low,Low,High,High,17/09/2025 02:03:54,17/09/2025 05:40:32,18/09/2025 03:26:16,Wednesday,18/09/2025 03:26:16
CR-27603,Network scanning tool triggered security alert.,Facilities,John Wick,Black Panther,Avengers II,Service B,Closed,Medium,Low,High,Low,17/09/2025 03:24:36,17/09/2025 09:00:29,18/09/2025 18:25:51,Wednesday,18/09/2025 18:25:51
CR-27604,Unauthorized user session hijacked on browser.,Data,Iron Man,Michal,Matrix,Service B,New,Low,Low,High,Medium,17/09/2025 08:52:10,,,Wednesday,
CR-27605,VPN connection failure: Unable to securely tunnel data.,Hardware,Martin,Martin,Matrix,Service C,Closed,High,Low,Low,Medium,17/09/2025 21:00:58,18/09/2025 00:22:46,19/09/2025 15:11:33,Wednesday,19/09/2025 15:11:33
CR-27606,Authentication error: Multi-factor authentication failed.,Network,Martin,Michal,Matrix,Service A,On Hold,High,Medium,High,Medium,17/09/2025 16:24:52,,,Wednesday,
CR-27607,Power failure simulation triggered during red team activity.,Network,Thor,Martin,Avengers II,Service A,New,High,Medium,High,Low,17/09/2025 05:00:23,,,Wednesday,
CR-27608,Antivirus disabled on workstation: Protection compromised.,Software,Peter,John Wick,Avengers II,Service B,Closed,High,Low,Medium,Medium,17/09/2025 14:59:35,17/09/2025 22:08:42,18/09/2025 06:39:18,Wednesday,18/09/2025 06:39:18
CR-27609,DDoS attack detected: High traffic spotted on critical service.,Hardware,Iron Man,Captain America,Matrix,Service B,In Progress,High,High,High,Medium,17/09/2025 05:48:02,17/09/2025 12:04:56,,Wednesday,
CR-27610,Antivirus disabled on workstation: Protection compromised.,Hardware,Martin,Thor,Avengers II,Service A,Closed,High,High,Low,Medium,17/09/2025 01:43:23,17/09/2025 09:26:35,18/09/2025 13:23:23,Wednesday,18/09/2025 13:23:23
CR-27611,Data download from personal device flagged for review.,Hardware,Captain America,Jan,Matrix,Service C,Closed,Medium,Medium,Low,Low,17/09/2025 18:28:14,17/09/2025 22:08:49,19/09/2025 01:03:02,Wednesday,19/09/2025 01:03:02
CR-27612,Cloud instance misconfiguration: Public access enabled.,Facilities,John Wick,Black Panther,Matrix,Service B,Closed,High,Medium,Low,Medium,17/09/2025 10:44:20,17/09/2025 16:34:00,18/09/2025 11:11:57,Wednesday,18/09/2025 11:11:57
CR-27613,User permission escalation detected on cloud platform.,Failure,Captain America,Hulk,Matrix,Service A,Closed,High,Medium,Medium,Medium,17/09/2025 09:53:21,17/09/2025 16:38:25,18/09/2025 09:07:23,Wednesday,18/09/2025 09:07:23
CR-27614,VPN connection failure: Unable to securely tunnel data.,Access,Jan,John Wick,Avengers,Service A,On Hold,High,High,Medium,Medium,17/09/2025 19:59:08,,,Wednesday,
CR-27615,Web application timeout: Performance degradation observed.,Facilities,Thor,Captain America,Avengers,Service B,Closed,High,Medium,Low,High,17/09/2025 04:38:21,17/09/2025 10:20:02,17/09/2025 16:11:09,Wednesday,17/09/2025 16:11:09
CR-27616,File integrity check failed: Data corruption suspected.,Access,Jan,Martin,Avengers II,Service C,Closed,Low,High,Medium,Low,17/09/2025 04:32:01,17/09/2025 13:04:17,18/09/2025 11:16:26,Wednesday,18/09/2025 11:16:26
CR-27617,Malicious macro executed within Office file.,Data,Thor,Jan,Avengers,Service B,New,Low,Low,High,High,17/09/2025 13:36:27,,,Wednesday,
CR-27618,Malware detected on endpoint: Quarantine initiated.,Software,Captain America,Martin,Avengers II,Service A,On Hold,Medium,Medium,Medium,Medium,17/09/2025 22:37:00,,,Wednesday,
CR-27619,USB device blocked: Removable media protection active.,Network,Hulk,Jan,Avengers,Service A,Closed,Medium,Low,Medium,Low,17/09/2025 05:36:05,17/09/2025 10:59:18,18/09/2025 09:57:42,Wednesday,18/09/2025 09:57:42
